english,spanish,info
bedroom,el dormitorio,Es un piso grande con cuatro dormitorios. 
bathroom,el baño lavabo,Va a hacer un fin de semana muy caluroso ¿te apetece que vayamos a bañarnos a un lago?
dining room,el comedor,comedor de fuego es un fire-eater
terrace,la terraza,terraza arbolada típica del sur de Alemania donde se vende principalmente cerveza y uno puede llevar su propia comida. Literalmente: jardín de la cerveza
balcony,el balcón,asomarse al balcón el papa
blinds,la persiana,enrollarse como una persiana
toilet,el váter,tapa del váter-Klodeckel
pot,la olla,olla exprés - Schnellkochtopf
pan,la sartén,ella es la que tiene la sartén por el mango
to hang (the clothes),tender,tender de golpe - to strike down
to fold (the clothes),doblar,doblar la cabeza (to die)
embarrassed,avergonzado,una sonrisa avergonzada
even when,aun cuando,aún saco tiempo para salir de vez en cuando
hammer,el martillo,creer algo a macha martillo (deeply believe in something)
